Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Make_Model
Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,13.9,12.0,13.1,306,3,6,Chevrolet_Silverado 4WD
Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,14.7,13.1,14.0,328,3,6,Chevrolet_Silverado 4WD Mud Terrain Tire
Chevrolet,Silverado 4WD,Pickup truck: Standard,3.0,6,A10,D,10.9,9.1,10.1,272,4,3,Chevrolet_Silverado 4WD
Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,3.0,6,A10,D,10.5,9.1,9.9,265,4,3,Chevrolet_Silverado 4WD (With Sport Mode)
Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,3.0,6,A10,D,11.8,10.3,11.2,298,4,3,Chevrolet_Silverado 4WD Mud Terrain Tire
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.5,12.8,14.8,347,3,3,Chevrolet_Silverado 4WD FFV
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,22.0,16.4,19.5,326,3,3,Chevrolet_Silverado 4WD FFV
Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A6,X,17.4,14.7,16.2,380,2,3,Chevrolet_Silverado 4WD Mud Terrain Tire FFV
Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A6,E,23.1,19.6,21.5,358,2,3,Chevrolet_Silverado 4WD Mud Terrain Tire FFV
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,X,15.6,11.9,13.9,327,3,6,Chevrolet_Silverado 4WD
Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A8,X,16.9,13.3,15.3,359,2,6,Chevrolet_Silverado 4WD Mud Terrain Tire
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,14.7,11.8,13.4,314,3,6,Chevrolet_Silverado 4WD
Chevrolet,Silverado 4WD (No DFM),Pickup truck: Standard,5.3,8,A10,X,16.8,12.4,14.8,347,3,6,Chevrolet_Silverado 4WD (No DFM)
Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,5.3,8,A10,X,15.3,12.3,13.9,327,3,6,Chevrolet_Silverado 4WD (With Sport Mode)
Chevrolet,Silverado 4WD (No Stop-Start),Pickup truck: Standard,5.3,8,A10,X,16.1,12.4,14.4,339,3,6,Chevrolet_Silverado 4WD (No Stop-Start)
