Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Make_Model
Audi,S5 Cabriolet quattro,Subcompact,3.0,6,AS8,Z,11.3,8.4,10.0,233,5,5,Audi_S5 Cabriolet quattro
Audi,S5 Coupe quattro,Subcompact,3.0,6,AS8,Z,11.1,8.0,9.7,227,5,5,Audi_S5 Coupe quattro
Audi,S5 Sportback quattro,Mid-size,3.0,6,AS8,Z,11.1,8.0,9.7,227,5,5,Audi_S5 Sportback quattro
Audi,S6 Sedan quattro,Mid-size,2.9,6,AS8,Z,12.8,8.5,10.9,254,5,5,Audi_S6 Sedan quattro
Audi,S7 Sportback quattro,Mid-size,2.9,6,AS8,Z,12.8,8.5,10.9,254,5,5,Audi_S7 Sportback quattro
Audi,S8 Sedan quattro,Full-size,4.0,8,AS8,Z,16.9,10.2,13.8,323,3,3,Audi_S8 Sedan quattro
Audi,SQ5 quattro,SUV: Small,3.0,6,AS8,Z,12.5,9.7,11.2,262,4,5,Audi_SQ5 quattro
Audi,SQ5 Sportback quattro,SUV: Small,3.0,6,AS8,Z,12.5,9.7,11.2,262,4,5,Audi_SQ5 Sportback quattro
Audi,SQ7 quattro,SUV: Standard,4.0,8,AS8,Z,16.0,11.4,13.9,325,3,3,Audi_SQ7 quattro
Audi,SQ8 quattro,SUV: Standard,4.0,8,AS8,Z,16.0,11.4,13.9,325,3,3,Audi_SQ8 quattro
Audi,TT Coupe 45 TFSI quattro,Subcompact,2.0,4,AM7,X,10.5,7.9,9.4,218,5,7,Audi_TT Coupe 45 TFSI quattro
Audi,TT Roadster 45 TFSI quattro,Two-seater,2.0,4,AM7,X,10.5,7.9,9.4,218,5,7,Audi_TT Roadster 45 TFSI quattro
Audi,TT RS Coupe quattro,Subcompact,2.5,5,AM7,Z,11.7,8.1,10.1,235,5,3,Audi_TT RS Coupe quattro
Audi,TTS Coupe quattro,Subcompact,2.0,4,AM7,Z,10.0,7.7,9.0,209,5,3,Audi_TTS Coupe quattro
Bentley,Bentayga,SUV: Standard,4.0,8,AS8,Z,15.8,9.9,13.2,309,3,3,Bentley_Bentayga
Bentley,Bentayga Speed,SUV: Standard,6.0,12,AS8,Z,19.0,13.0,16.3,383,2,3,Bentley_Bentayga Speed
Bentley,Continental GT,Subcompact,4.0,8,AM8,Z,14.9,9.0,12.2,287,4,3,Bentley_Continental GT
Bentley,Continental GT Speed,Subcompact,6.0,12,AM8,Z,19.6,12.0,16.2,379,2,3,Bentley_Continental GT Speed
Bentley,Continental GT Convertible,Minicompact,4.0,8,AM8,Z,15.2,9.2,12.5,294,4,3,Bentley_Continental GT Convertible
Bentley,Continental GT Convertible Speed,Minicompact,6.0,12,AM8,Z,20.3,12.9,17.0,395,2,3,Bentley_Continental GT Convertible Speed
Bentley,Flying Spur,Mid-size,4.0,8,AM8,Z,15.5,11.6,13.7,323,3,3,Bentley_Flying Spur
Bentley,Flying Spur,Mid-size,6.0,12,AM8,Z,19.2,12.2,16.0,373,2,3,Bentley_Flying Spur
BMW,330i xDrive Sedan,Compact,2.0,4,AS8,Z,9.5,6.9,8.3,195,6,7,BMW_330i xDrive Sedan
BMW,430i xDrive Cabriolet,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,202,6,7,BMW_430i xDrive Cabriolet
BMW,430i xDrive Coupe,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,202,6,7,BMW_430i xDrive Coupe
BMW,530i xDrive Sedan,Mid-size,2.0,4,AS8,Z,10.1,7.4,8.9,206,6,7,BMW_530i xDrive Sedan
BMW,540i xDrive Sedan,Full-size,3.0,6,AS8,Z,10.5,8.1,9.4,219,5,5,BMW_540i xDrive Sedan
BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,Z,13.9,9.6,12.0,279,4,3,BMW_750i xDrive Sedan
BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,Z,13.9,9.6,12.0,279,4,3,BMW_750Li xDrive Sedan
BMW,Alpina B7,Full-size,4.4,8,AS8,Z,13.9,9.6,12.0,279,4,3,BMW_Alpina B7
BMW,Alpina B8 Gran Coupe,Mid-size,4.4,8,AS8,Z,13.9,9.6,12.0,279,4,3,BMW_Alpina B8 Gran Coupe
BMW,Alpina XB7,SUV: Standard,4.4,8,AS8,Z,15.7,11.5,13.8,321,3,3,BMW_Alpina XB7
BMW,M235i xDrive Gran Coupe,Compact,2.0,4,AS8,Z,10.4,7.8,9.2,214,5,3,BMW_M235i xDrive Gran Coupe
BMW,M240i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.4,7.5,9.1,212,5,5,BMW_M240i xDrive Coupe
BMW,M3 Sedan,Compact,3.0,6,M6,Z,14.7,10.1,12.6,293,4,5,BMW_M3 Sedan
BMW,M3 Competition Sedan,Compact,3.0,6,AS8,Z,14.5,10.2,12.6,292,4,5,BMW_M3 Competition Sedan
BMW,M3 Competition Sedan M xDrive,Compact,3.0,6,AS8,Z,14.6,10.5,12.7,296,4,5,BMW_M3 Competition Sedan M xDrive
BMW,M340i xDrive Sedan,Compact,3.0,6,AS8,Z,10.4,7.7,9.2,214,5,5,BMW_M340i xDrive Sedan
BMW,M4 Competition Cabriolet M xDrive,Subcompact,3.0,6,AS8,Z,15.1,10.4,12.9,301,3,5,BMW_M4 Competition Cabriolet M xDrive
BMW,M4 Coupe,Subcompact,3.0,6,M6,Z,14.7,10.1,12.6,293,4,5,BMW_M4 Coupe
BMW,M4 Competition Coupe,Subcompact,3.0,6,AS8,Z,14.5,10.2,12.6,292,4,5,BMW_M4 Competition Coupe
BMW,M4 Competition Coupe M xDrive,Subcompact,3.0,6,AS8,Z,14.6,10.5,12.7,296,4,5,BMW_M4 Competition Coupe M xDrive
BMW,M440i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,10.4,7.4,9.1,211,5,5,BMW_M440i xDrive Cabriolet
BMW,M440i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.4,7.7,9.2,214,5,5,BMW_M440i xDrive Coupe
BMW,M440i xDrive Gran Coupe,Compact,3.0,6,AS8,Z,10.9,8.0,9.6,224,5,5,BMW_M440i xDrive Gran Coupe
BMW,M5 Sedan,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M5 Sedan
BMW,M5 Competition,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M5 Competition
BMW,M5 CS,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M5 CS
BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,Z,13.5,9.3,11.6,271,4,3,BMW_M550i xDrive Sedan
BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,Z,17.8,11.9,15.1,354,3,3,BMW_M760i xDrive Sedan
BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M8 Cabriolet
BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M8 Cabriolet Competition
BMW,M8 Coupe,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M8 Coupe
BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M8 Coupe Competition
BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M8 Gran Coupe
BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,322,3,3,BMW_M8 Gran Coupe Competition
BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,13.9,9.6,12.0,279,4,3,BMW_M850i xDrive Cabriolet
